name,Type,Region,Zone
Black Rock 5-6,Geothermal,IID,WECC
Black Rock 7-8,Geothermal,IID,WECC
BlackButte,Hydro,CIPV,WECC
BlackCanyon1,Hydro,IPTV,WECC
BlackCanyon2,Hydro,IPTV,WECC
BlackCanyon3MV,Hydro,IPTV,WECC
BlackCreek,Hydro,PSEI,WECC
BlackEagle1,Hydro,NWMT,WECC
BlackEagle2,Hydro,NWMT,WECC
BlackEagle3,Hydro,NWMT,WECC
BlackMountain1,Gas CT,TEPC,WECC
BlackMountain2,Gas CT,TEPC,WECC
Blacksand182,Biomass,CISC,WECC
Blacksand189,Biomass,CISC,WECC
Blacksand190,Biomass,CISC,WECC
BlackspringRidge,Wind,AESO,WECC
BlindCanyon,Hydro,IPMV,WECC
Bliss1,Hydro,IPMV,WECC
Bliss2,Hydro,IPMV,WECC
Bliss3,Hydro,IPMV,WECC
BloomingtonPwr1,Other,PAUT,WECC
BloomingtonPwr2,Other,PAUT,WECC
BloomingtonPwr3,Other,PAUT,WECC
BloomingtonPwr4,Other,PAUT,WECC
BloomingtonPwr5,Other,PAUT,WECC
BloomingtonPwr6,Other,PAUT,WECC
BlueLake,Biomass,CIPV,WECC
BlueMesa1,Hydro,WACM,WECC
BlueMesa2,Hydro,WACM,WECC
BlueSpruce1,Gas CT,PSCO,WECC
BlueSpruce2,Gas CT,PSCO,WECC
BluffviewCC-Total,Gas CC,WALC,WECC
Blundell1,Geothermal,PAUT,WECC
Blundell2,Geothermal,PAUT,WECC
BlytheCC-Total,Gas CC,CISC,WECC
BlytheSolar,PV,CISC,WECC
BoiseRDiversion1A,Hydro,IPTV,WECC
BoiseRDiversion2A,Hydro,IPTV,WECC
BoiseRDiversion3A,Hydro,IPTV,WECC
Bonanza,Coal,PAUT,WECC
BoneCreek1,Hydro,BCHA,WECC
BoneCreek2,Hydro,BCHA,WECC
Bonneville1,Hydro,BPAT,WECC
Bonneville10,Hydro,BPAT,WECC
Bonneville11,Hydro,BPAT,WECC
Bonneville12,Hydro,BPAT,WECC
Bonneville13,Hydro,BPAT,WECC
Bonneville14,Hydro,BPAT,WECC
Bonneville15,Hydro,BPAT,WECC
Bonneville16,Hydro,BPAT,WECC
Bonneville17,Hydro,BPAT,WECC
Bonneville18,Hydro,BPAT,WECC
Bonneville2,Hydro,BPAT,WECC
Bonneville3,Hydro,BPAT,WECC
Bonneville4,Hydro,BPAT,WECC
Bonneville5,Hydro,BPAT,WECC
Bonneville6,Hydro,BPAT,WECC
Bonneville7,Hydro,BPAT,WECC
Bonneville8,Hydro,BPAT,WECC
Bonneville9,Hydro,BPAT,WECC
BonnevilleF1,Hydro,BPAT,WECC
BonnevilleF2,Hydro,BPAT,WECC
Bonnybrook,Gas CT,AESO,WECC
Borden-QFAgg,Hydro,CIPV,WECC
BorderPeaker,Gas CT,CISD,WECC
Borel1,Hydro,CISC,WECC
Borel2,Hydro,CISC,WECC
Borel3,Hydro,CISC,WECC
BostonBar1,Hydro,BCHA,WECC
BostonBar2,Hydro,BCHA,WECC
BottleRock,Geothermal,CIPV,WECC
BoulderCanyon1,Hydro,PSCO,WECC
BoulderCanyon2,Hydro,PSCO,WECC
BoulderCreek1,Hydro,BCHA,WECC
BoulderCreek2,Hydro,BCHA,WECC
BoulderCreek3,Hydro,BCHA,WECC
BoulderPark1,Other,AVA,WECC
BoulderPark2,Other,AVA,WECC
BoulderPark3,Other,AVA,WECC
BoulderPark4,Other,AVA,WECC
BoulderPark5,Other,AVA,WECC
BoulderPark6,Other,AVA,WECC
Boundary51,Hydro,SCL,WECC
Boundary52,Hydro,SCL,WECC
Boundary53,Hydro,SCL,WECC
Boundary54,Hydro,SCL,WECC
Boundary55,Hydro,SCL,WECC
Boundary56,Hydro,SCL,WECC
BountifulCity1A,Gas CT,PAUT,WECC
BountifulCity8,Other,PAUT,WECC
BowieCC1-Total,Gas CC,TEPC,WECC
BowieCC2-Total,Gas CC,TEPC,WECC
Bowman_GEN1,Hydro,CIPV,WECC
BowMontCapital,Gas CT,AESO,WECC
BoxCanyonAVA1,Hydro,AVA,WECC
BoxCanyonAVA2,Hydro,AVA,WECC
BoxCanyonAVA3,Hydro,AVA,WECC
BoxCanyonAVA4,Hydro,AVA,WECC
BoxCanyonBC,Hydro,BCHA,WECC
BoxCanyonID,Hydro,IPMV,WECC
BoxCanyonPACW1,Hydro,SPPC,WECC
BoxCanyonPACW2,Hydro,SPPC,WECC
Boysen1,Hydro,WACM,WECC
Boysen2,Hydro,WACM,WECC
BradleyLandfill,Biomass,LDWP,WECC
BradyHotSprings1,Geothermal,SPPC,WECC
BradyHotSprings2,Geothermal,SPPC,WECC
BradyHotSprings3,Geothermal,SPPC,WECC
BradyHotSpringsOEC,Geothermal,SPPC,WECC
Brandywine1,Hydro,BCHA,WECC
Brandywine2,Hydro,BCHA,WECC
BrazeauHydro1,Hydro,AESO,WECC
BrazeauHydro2,Hydro,AESO,WECC
Brea2CC-Total,Gas CC,CISC,WECC
Breeze1,Wind,CISC,WECC
Breeze2,Wind,CISC,WECC
Bremner1,Hydro,BCHA,WECC
Bremner2,Hydro,BCHA,WECC
BridgeRiver1,Hydro,BCHA,WECC
BridgeRiver2,Hydro,BCHA,WECC
BridgeRiver21,Hydro,BCHA,WECC
BridgeRiver22,Hydro,BCHA,WECC
BridgeRiver23,Hydro,BCHA,WECC
BridgeRiver24,Hydro,BCHA,WECC
BridgeRiver3,Hydro,BCHA,WECC
BridgeRiver4,Hydro,BCHA,WECC
BriggsCreek1,Hydro,IPMV,WECC
Brilliant1,Hydro,BCHA,WECC
Brilliant2,Hydro,BCHA,WECC
Brilliant3,Hydro,BCHA,WECC
Brilliant4,Hydro,BCHA,WECC
BrilliantExp,Hydro,BCHA,WECC
Broadwater,Hydro,NWMT,WECC
Broadway3,Steam,CISC,WECC
Brownlee1,Hydro,IPTV,WECC
Brownlee2,Hydro,IPTV,WECC
Brownlee3,Hydro,IPTV,WECC
Brownlee4,Hydro,IPTV,WECC
Brownlee5,Hydro,IPTV,WECC
BrushCC1-Total,Gas CC,PSCO,WECC
BrushCC2-Total,Gas CC,PSCO,WECC
BrushCC3-Total,Gas CC,PSCO,WECC
Buckeye,Geothermal,CIPB,WECC
Bucks_Creek_H1,Hydro,CIPV,WECC
Bucks_Creek_H2,Hydro,CIPV,WECC
Buena_Vista,Wind,CIPB,WECC
BuenaVistaBioRepwr,Biomass,CIPV,WECC
BuenaVistaPump1-1,Other,CIPV,WECC
BuenaVistaPump1-2,Other,CIPV,WECC
BuenaVistaPump1-3,Other,CIPV,WECC
BuenaVistaPump1-4,Other,CIPV,WECC
BuenaVistaPump1-5,Other,CIPV,WECC
BuenaVistaPump1-6,Other,CIPV,WECC
BuenaVistaPump2-1,Other,CIPV,WECC
BuenaVistaPump2-2,Other,CIPV,WECC
BuenaVistaPump2-3,Other,CIPV,WECC
BuenaVistaPump2-4,Other,CIPV,WECC
Buffalo_Bill_1,Hydro,WACM,WECC
Buffalo_Bill_2,Hydro,WACM,WECC
Buffalo_Bill_3,Hydro,WACM,WECC
BullCreekWind1,Wind,AESO,WECC
Bullmoose1,Wind,BCHA,WECC
Bullmoose2,Wind,BCHA,WECC
Buntzen1-1,Hydro,BCHA,WECC
Burley_Butte,Wind,IPMV,WECC
Burlington,Biomass,PSEI,WECC
Burlington_1,Other,WACM,WECC
Burlington_2,Other,WACM,WECC
Burney,Biomass,CIPV,WECC
Burney_Creek,Hydro,CIPV,WECC
Burney_Forest,Biomass,CIPV,WECC
Burney_Mountain,Biomass,CIPV,WECC
Burney_QF,Hydro,CIPV,WECC
Burton_Creek,Hydro,BPAT,WECC
Busch_Ranch,Wind,PSCO,WECC
Butt_Valley_1,Hydro,CIPV,WECC
Bypass_GEN1,Hydro,IPMV,WECC
Bypass_GEN2,Hydro,IPMV,WECC
Bypass_GEN3,Hydro,IPMV,WECC
C_J_Strike_1,Hydro,IPTV,WECC
C_LenzieCC1-Total,Gas CC,NEVP,WECC
C_LenzieCC2-Total,Gas CC,NEVP,WECC
C_P_Kelco1,Gas CT,CISD,WECC
C_P_Kelco2,Gas CT,CISD,WECC
C_P_Kelco3,Gas CT,CISD,WECC
CA_Tower_SM1,CSP-TES,CISC,WECC
CA_Tower_SM17,CSP-TES,CISC,WECC
CA_Tower_SM25,CSP-TES,CISC,WECC
CA_Tower_SM3,CSP-TES,CISC,WECC
CA_Tower_SM13,CSP-TES,CISC,WECC
CA_Tower_SM2,CSP-TES,CISC,WECC
CabinCreekA,Storage,PSCO,WECC
CabinCreekB,Storage,PSCO,WECC
CabinetGorge1,Hydro,AVA,WECC
CabinetGorge2,Hydro,AVA,WECC
CabinetGorge3,Hydro,AVA,WECC
CabinetGorge4,Hydro,AVA,WECC
CacheCreekLandfill,Biomass,BCHA,WECC
CaithDixiVally1,Geothermal,CISC,WECC
CaithDixiVally2,Geothermal,CISC,WECC
CaithDixiVally3,Geothermal,CISC,WECC
Calabasas1,Biomass,CISC,WECC
Calabasas2,Biomass,CISC,WECC
Calabasas3,Biomass,CISC,WECC
Caliente1CC-Total,Gas CC,EPE,WECC
CalInstTech-CC-Total,Gas CC,CISC,WECC
Calistoga1,Geothermal,CIPV,WECC
Calistoga2,Geothermal,CIPV,WECC
Calpine_Geo,Geothermal,CIPV,WECC
CalpineCC-Total,Gas CC,AESO,WECC
CalRenew_1_CR1,PV,CIPV,WECC
Camanche_1,Hydro,CIPV,WECC
Camanche_2,Hydro,CIPV,WECC
Camanche_3,Hydro,CIPV,WECC
Camino_H1,Hydro,BANC,WECC
Camino_H2,Hydro,BANC,WECC
Camp_Far_West_1,Hydro,CIPV,WECC
Campbell_Hill,Wind,PAWY,WECC
CampReedWind,Wind,IPTV,WECC
Canby,Geothermal,PACW,WECC
CANCARB1-1,Biomass,AESO,WECC
Canoe_Creek,Hydro,BCHA,WECC
Cantua_Solar,PV,CIPV,WECC
Canyon_Ferry_1,Hydro,NWMT,WECC
Canyon_Ferry_2,Hydro,NWMT,WECC
Canyon_Ferry_3,Hydro,NWMT,WECC
Canyon_Pwr1,Gas CT,CISC,WECC
Canyon_Pwr2,Gas CT,CISC,WECC
Canyon_Pwr3,Gas CT,CISC,WECC
Canyon_Pwr4,Gas CT,CISC,WECC
Canyon_Springs,Hydro,IPMV,WECC
CapeScott1,Wind,BCHA,WECC
CapeScott2,Wind,BCHA,WECC
CapeScott3,Wind,BCHA,WECC
CapeScott4,Wind,BCHA,WECC
CapeScott5,Wind,BCHA,WECC
CardinalCC-Total,CHP-QF,CIPB,WECC
CargillB6Bio1,Biomass,IPMV,WECC
CargillB6Bio2,Biomass,IPMV,WECC
CargillDryCreekBio1,Biomass,IPMV,WECC
CargillDryCreekBio2,Biomass,IPMV,WECC
CargillDryCreekBio3,Biomass,IPMV,WECC
Caribou_2_4,Hydro,CIPV,WECC
Caribou_2_5,Hydro,CIPV,WECC
Caribou1-1,Hydro,CIPV,WECC
Caribou1-2,Hydro,CIPV,WECC
Caribou1-3,Hydro,CIPV,WECC
CarlsbadEC1-GT1,Gas CT,CISD,WECC
CarlsbadEC1-GT2,Gas CT,CISD,WECC
CarlsbadEC1-GT3,Gas CT,CISD,WECC
CarlsbadEC1-GT4,Gas CT,CISD,WECC
