name,TypeSpecific,Type,Region,Zone
Cushman1-21,Hydro,Hydro,TPWR,US
Cushman1-22,Hydro,Hydro,TPWR,US
DallesDamNorthFshwy,Hydro_ZeroK,Hydro,BPAT,US
Darrington_GEN1,Bio-ST,Biomass,BPAT,US
Desert_Claim,WT-Onshore,Wind,BPAT,US
Desert_Meadow,WT-Onshore,Wind,IPTV,US
Detroit_1,Hydro_FixedDispatch,Hydro,BPAT,US
Detroit_2,Hydro_FixedDispatch,Hydro,BPAT,US
Dexter_1,Hydro_FixedDispatch,Hydro,BPAT,US
DG-BTM-AVA-ID,DG-BTM,RPV,AVA,US
DG-BTM-AVA-WA,DG-BTM,RPV,AVA,US
DG-BTM-BPAT-ID,DG-BTM,RPV,PAID,US
DG-BTM-BPAT-MT,DG-BTM,RPV,BPAT,US
DG-BTM-BPAT-OR,DG-BTM,RPV,BPAT,US
DG-BTM-BPAT-WA,DG-BTM,RPV,BPAT,US
DG-BTM-CHPD-WA,DG-BTM,RPV,CHPD,US
DG-BTM-DOPD-WA,DG-BTM,RPV,DOPD,US
DG-BTM-GCPD-WA,DG-BTM,RPV,GCPD,US
DG-BTM-IPFE-ID,DG-BTM,RPV,IPFE,US
DG-BTM-IPMV-ID,DG-BTM,RPV,IPMV,US
DG-BTM-IPTV-ID,DG-BTM,RPV,IPTV,US
DG-BTM-IPTV-OR,DG-BTM,RPV,IPTV,US
DG-BTM-PACW-CA,DG-BTM,RPV,PACW,US
DG-BTM-PACW-OR,DG-BTM,RPV,PACW,US
DG-BTM-PACW-WA,DG-BTM,RPV,PACW,US
DG-BTM-PAID-ID,DG-BTM,RPV,PAID,US
DG-BTM-PGE-OR,DG-BTM,RPV,PGE,US
DG-BTM-PSEI-WA,DG-BTM,RPV,PSEI,US
DG-BTM-SCL-WA,DG-BTM,RPV,SCL,US
DG-BTM-TPWR-WA,DG-BTM,RPV,TPWR,US
DiabloHydro_31,Hydro,Hydro,SCL,US
DiabloHydro_32,Hydro,Hydro,SCL,US
Dietrich_Drop,Hydro_ZeroK,Hydro,IPMV,US
DillardComplexGEN4,Bio-ST,Biomass,BPAT,US
DillardComplexGEN5,Bio-ST,Biomass,BPAT,US
DoubleADigester1,Bio-ICE,Biomass,IPMV,US
DoubleADigester2,Bio-ICE,Biomass,IPMV,US
DoubleADigester3,Bio-ICE,Biomass,IPMV,US
DR-AVA,DR,DR,AVA,US
DR-BPAT,DR,DR,BPAT,US
DR-IPFE,DR,DR,IPFE,US
DR-IPMV,DR,DR,IPMV,US
