name,TypeSpecific,Type,Region,Zone
Huntington_2,ST-Coal,Coal,PAUT,UT
HuronSolar,SolarPV-NonTracking,PV,CIPV,CA
HurricaneCityPwr1,ICE-OilDistillate,Other,PAUT,UT
HurricaneCityPwr2,ICE-OilDistillate,Other,PAUT,UT
HurricaneCityPwr3,ICE-OilDistillate,Other,PAUT,UT
HurricaneCityPwr4,CT-NatGas-Aero,Gas CT,PAUT,UT
HurricaneCityPwr5,CT-NatGas-Aero,Gas CT,PAUT,UT
HurricaneCityPwr6,CT-NatGas-Aero,Gas CT,PAUT,UT
HurricaneCityPwr7,CT-NatGas-Aero,Gas CT,PAUT,UT
HurricaneCityPwr8,CT-NatGas-Aero,Gas CT,PAUT,UT
HurricaneCityPwr9,CT-NatGas-Aero,Gas CT,PAUT,UT
HutchinsnCreek1,Hydro_ZeroK,Hydro,PSEI,PNW
HWilsonSundtGT1,CT-NatGas-Aero,Gas CT,TEPC,AZ
HWilsonSundtGT2,CT-NatGas-Aero,Gas CT,TEPC,AZ
HWilsonSundtST1,ST-NatGas,Other,TEPC,AZ
HWilsonSundtST2,ST-NatGas,Other,TEPC,AZ
HWilsonSundtST3,ST-NatGas,Other,TEPC,AZ
HWilsonSundtST4,ST-Coal,Coal,TEPC,AZ
Hyder_Solar_PV1,SolarPV-Tracking,PV,AZPS,AZ
Hyder_Solar_PV2,SolarPV-Tracking,PV,AZPS,AZ
Hystad_Creek_1,Hydro_ZeroK,Hydro,BCHA,CAN
Hystad_Creek_2,Hydro_ZeroK,Hydro,BCHA,CAN
IBM_COTTLE_1,CT-NatGas-Aero,Gas CT,CIPV,CA
Ice_Harbor_1,Hydro_FixedDispatch,Hydro,BPAT,PNW
Ice_Harbor_2,Hydro_FixedDispatch,Hydro,BPAT,PNW
Ice_Harbor_3,Hydro_FixedDispatch,Hydro,BPAT,PNW
Ice_Harbor_4,Hydro_FixedDispatch,Hydro,BPAT,PNW
Ice_Harbor_5,Hydro_FixedDispatch,Hydro,BPAT,PNW
Ice_Harbor_6,Hydro_FixedDispatch,Hydro,BPAT,PNW
Idylwilde_1,Hydro_FixedDispatch,Hydro,PSCO,COWY
